Cumulative Weeks,Date,Year,Week,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
534,2020.00,2019,52,6.40,6.40,6.50,6.80,58462,3540,203,0,3743
535,2020.02,2020,1,7.55,7.55,6.58,6.88,60034,4102,432,0,4534
536,2020.04,2020,2,7.61,7.61,6.65,6.96,60588,4137,472,1,4609
537,2020.06,2020,3,7.64,7.64,6.71,7.02,59217,4057,465,2,4522
538,2020.08,2020,4,7.46,7.47,6.76,7.07,59020,3905,498,3,4406
539,2020.10,2020,5,7.31,7.31,6.80,7.11,58701,3810,480,0,4290
540,2020.11,2020,6,7.30,7.31,6.83,7.14,59355,3816,519,4,4338
541,2020.13,2020,7,7.49,7.50,6.85,7.15,58699,3839,560,6,4403
542,2020.15,2020,8,7.28,7.28,6.85,7.15,58771,3711,566,6,4280
543,2020.17,2020,9,7.59,7.59,6.84,7.14,59203,3837,655,9,4496
544,2020.19,2020,10,7.74,7.77,6.82,7.12,59570,3976,634,38,4628
545,2020.21,2020,11,7.85,7.90,6.79,7.09,58553,3971,625,60,4625
546,2020.23,2020,12,8.63,9.17,6.74,7.05,59096,4543,558,586,5422
547,2020.25,2020,13,10.52,13.23,6.69,6.99,62873,6169,445,3211,8319
548,2020.27,2020,14,14.40,21.47,6.62,6.93,72145,9911,476,10113,15486
549,2020.29,2020,15,15.78,26.83,6.55,6.85,78946,11988,473,16306,21178
550,2020.31,2020,16,15.21,27.83,6.46,6.77,76697,11405,263,17201,21344
551,2020.33,2020,17,14.25,26.19,6.37,6.68,73774,10369,143,15525,19325
552,2020.34,2020,18,13.00,24.08,6.28,6.58,69181,8929,66,13199,16657
553,2020.36,2020,19,11.80,21.54,6.17,6.48,66709,7825,48,11223,14370
554,2020.38,2020,20,10.56,18.99,6.07,6.38,64399,6779,22,9229,12227
555,2020.40,2020,21,9.62,16.52,5.96,6.27,61520,5894,24,7228,10161
556,2020.42,2020,22,8.86,15.03,5.86,6.16,59595,5266,12,6160,8956
557,2020.44,2020,23,8.34,13.26,5.76,6.06,58804,4895,11,5046,7799
558,2020.46,2020,24,7.86,11.93,5.65,5.96,57920,4539,11,4227,6910
559,2020.48,2020,25,7.55,11.42,5.56,5.86,57904,4363,8,3844,6611
560,2020.50,2020,26,7.33,11.22,5.47,5.77,58392,4271,12,3835,6551
561,2020.52,2020,27,7.64,11.89,5.39,5.69,59702,4559,4,4540,7097
562,2020.54,2020,28,8.97,13.92,5.31,5.62,61800,5535,10,5770,8600
563,2020.56,2020,29,9.83,15.74,5.25,5.55,62998,6182,13,7166,9915
564,2020.57,2020,30,10.57,17.21,5.19,5.50,64122,6765,11,8229,11035
565,2020.59,2020,31,10.69,17.25,5.15,5.45,64121,6840,13,8285,11058
566,2020.61,2020,32,10.72,16.81,5.12,5.42,63576,6805,10,7848,10689
567,2020.63,2020,33,10.25,15.88,5.10,5.40,63511,6508,5,7248,10084
568,2020.65,2020,34,9.58,14.63,5.09,5.40,62440,5968,12,6375,9136
569,2020.67,2020,35,9.11,13.78,5.10,5.41,60980,5541,12,5739,8404
570,2020.69,2020,36,8.67,12.84,5.12,5.43,60126,5204,9,5010,7719
571,2020.71,2020,37,8.31,12.21,5.15,5.46,59548,4942,7,4618,7272
572,2020.73,2020,38,8.01,11.74,5.20,5.50,59638,4772,5,4273,7002
573,2020.75,2020,39,8.16,11.76,5.25,5.56,60506,4933,4,4296,7117
574,2020.77,2020,40,8.10,11.79,5.32,5.63,59712,4829,8,4240,7038
575,2020.79,2020,41,8.43,12.39,5.40,5.70,61672,5186,12,4813,7644
576,2020.80,2020,42,8.65,13.16,5.48,5.79,60507,5218,16,5195,7964
577,2020.82,2020,43,9.12,14.33,5.57,5.88,62093,5646,15,5990,8898
578,2020.84,2020,44,9.74,15.67,5.67,5.98,63327,6145,21,7019,9926
579,2020.86,2020,45,10.54,17.45,5.77,6.08,67473,7090,21,8754,11771
580,2020.88,2020,46,11.76,19.91,5.88,6.18,68729,8060,20,10644,13681
581,2020.90,2020,47,13.21,23.01,5.99,6.29,71539,9419,30,13343,16460
582,2020.92,2020,48,14.34,25.40,6.09,6.40,73182,10465,27,15615,18590
583,2020.94,2020,49,15.67,28.14,6.20,6.50,77275,12071,35,18545,21746
584,2020.96,2020,50,16.24,29.53,6.30,6.61,81861,13269,29,20913,24173
585,2020.98,2020,51,17.30,30.93,6.40,6.70,82800,14293,32,22313,25611
586,2021.00,2020,52,17.72,31.69,6.49,6.80,84224,14894,32,23363,26693
587,2021.02,2020,53,18.51,32.55,6.58,6.88,86854,16038,43,24843,28269
588,2021.02,2021,1,19.37,33.79,6.65,6.96,86886,16800,32,25973,29362
589,2021.04,2021,2,19.40,33.32,6.72,7.03,87233,16884,36,25687,29067
590,2021.06,2021,3,18.92,32.22,6.78,7.08,83537,15776,31,23683,26916
591,2021.08,2021,4,17.54,29.57,6.82,7.13,79052,13832,34,20321,23376
592,2021.10,2021,5,16.09,26.36,6.86,7.16,76351,12258,28,17033,20127
593,2021.11,2021,6,14.32,23.08,6.88,7.18,71387,10202,24,13518,16473
594,2021.13,2021,7,12.88,20.01,6.89,7.19,69373,8921,15,10807,13880
595,2021.15,2021,8,11.32,17.39,6.88,7.19,66615,7520,18,8651,11582
596,2021.17,2021,9,10.39,15.24,6.86,7.17,63575,6579,26,6731,9691
597,2021.19,2021,10,9.36,13.73,6.83,7.14,61750,5769,13,5724,8480
598,2021.21,2021,11,8.82,12.72,6.79,7.10,60244,5306,6,4892,7664
599,2021.23,2021,12,8.41,11.93,6.74,7.04,60712,5088,17,4460,7244
600,2021.25,2021,13,8.15,11.69,6.68,6.98,58567,4757,17,4197,6845
601,2021.27,2021,14,8.16,11.57,6.60,6.91,60883,4955,12,4313,7046
602,2021.29,2021,15,8.40,11.94,6.52,6.82,59019,4952,7,4448,7048
603,2021.31,2021,16,8.54,12.11,6.43,6.74,60145,5122,15,4599,7285
604,2021.33,2021,17,8.17,11.43,6.33,6.64,59687,4873,6,4164,6822
605,2021.34,2021,18,8.12,11.26,6.23,6.54,58889,4770,9,4006,6633
606,2021.36,2021,19,7.78,10.63,6.13,6.44,58334,4529,10,3678,6200
607,2021.38,2021,20,7.44,9.92,6.03,6.33,58635,4351,9,3237,5817
608,2021.40,2021,21,7.03,9.18,5.92,6.22,57215,4017,5,2770,5251
609,2021.42,2021,22,6.78,8.56,5.82,6.12,57352,3883,8,2347,4911
610,2021.44,2021,23,6.59,8.20,5.71,6.02,57000,3748,6,2034,4674
611,2021.46,2021,24,6.48,7.89,5.62,5.92,57104,3691,11,1775,4503
612,2021.48,2021,25,6.13,7.50,5.53,5.83,56764,3474,8,1632,4258
613,2021.50,2021,26,5.91,7.15,5.44,5.75,57399,3384,7,1542,4103
614,2021.52,2021,27,6.23,7.55,5.36,5.67,57049,3554,3,1645,4305
615,2021.54,2021,28,6.73,8.32,5.30,5.60,57057,3833,8,1990,4747
616,2021.56,2021,29,7.27,9.34,5.24,5.55,58319,4229,9,2760,5448
617,2021.57,2021,30,8.48,11.42,5.20,5.50,60178,5093,10,4105,6873
618,2021.59,2021,31,10.29,14.59,5.16,5.47,63596,6532,12,6481,9278
619,2021.61,2021,32,12.71,18.37,5.14,5.45,66875,8491,11,9405,12285
620,2021.63,2021,33,14.58,21.64,5.14,5.44,69804,10163,11,12178,15107
621,2021.65,2021,34,16.00,23.80,5.14,5.45,71969,11499,16,14169,17127
622,2021.67,2021,35,16.84,25.01,5.16,5.46,73349,12317,32,15490,18346
623,2021.69,2021,36,16.77,24.96,5.19,5.49,73558,12324,15,15414,18361
624,2021.71,2021,37,16.67,24.97,5.23,5.54,73136,12172,17,15208,18260
625,2021.73,2021,38,16.01,24.08,5.29,5.59,72028,11512,18,14346,17344
626,2021.75,2021,39,15.04,22.21,5.35,5.65,71191,10685,19,12828,15815
627,2021.77,2021,40,14.16,20.56,5.42,5.73,68963,9743,20,11176,14176
628,2021.79,2021,41,13.15,19.08,5.51,5.81,67416,8853,11,9878,12866
629,2021.80,2021,42,12.36,17.78,5.60,5.90,66919,8255,15,8941,11899
630,2021.82,2021,43,11.76,16.64,5.69,6.00,66317,7788,14,7959,11032
631,2021.84,2021,44,10.99,15.61,5.80,6.10,66490,7302,7,7286,10381
632,2021.86,2021,45,10.74,15.26,5.90,6.21,67319,7205,26,7159,10275
633,2021.88,2021,46,10.99,15.71,6.01,6.31,66807,7324,16,7307,10498
634,2021.90,2021,47,11.22,16.37,6.12,6.42,67817,7589,19,7886,11101
635,2021.92,2021,48,11.94,17.36,6.22,6.53,70012,8324,37,8781,12154
636,2021.94,2021,49,12.56,18.35,6.32,6.63,71981,8985,56,9733,13210
637,2021.96,2021,50,13.15,19.18,6.42,6.73,71170,9302,58,10249,13650
638,2021.98,2021,51,13.18,19.44,6.52,6.82,72125,9417,86,10454,14019
639,2022.00,2021,52,13.77,20.80,6.60,6.91,73428,9959,149,11572,15273
640,2022.02,2022,1,15.15,24.00,6.68,6.99,76120,11354,177,14553,18265
641,2022.04,2022,2,16.19,26.88,6.75,7.06,82872,13283,137,18629,22276
642,2022.06,2022,3,17.14,29.22,6.81,7.11,83156,14110,144,20773,24295
643,2022.08,2022,4,16.97,28.78,6.86,7.16,82507,13910,89,20361,23742
644,2022.10,2022,5,16.45,27.32,6.89,7.20,78995,12906,85,18247,21578
645,2022.11,2022,6,14.56,23.95,6.92,7.22,74980,10837,83,14891,17957
646,2022.13,2022,7,13.05,20.70,6.93,7.23,68658,8895,63,11212,14214
647,2022.15,2022,8,11.17,17.26,6.93,7.23,64073,7098,62,8046,11056
648,2022.17,2022,9,9.63,14.17,6.91,7.21,62125,5925,59,5813,8802
